"﻿Nº Partido";"Nº Pareja";"Jugador 1";"Jugador 2";"Nº Pareja";"Jugador 3";"Jugador 4"
"Partido 1";"Pareja 1:";FABIAN;DIEGO;"Pareja 2:";SOLE;LUCAS
"Partido 2";"Pareja 1:";CARI;CARO;"Pareja 2:";ADRIANA;"JUAN C"
"Partido 3";"Pareja 1:";FABIAN;SOLE;"Pareja 2:";ADRIANA;ADRIAN
"Partido 4";"Pareja 1:";DIEGO;"JUAN C";"Pareja 2:";LARI;JESI
"Partido 5";"Pareja 1:";SOLE;ANITA;"Pareja 2:";SERVA;LEO
"Partido 6";"Pareja 1:";FABIAN;ANITA;"Pareja 2:";JESI;GABI
"Partido 7";"Pareja 1:";"JUAN C";ADRIAN;"Pareja 2:";ADRIANA;DIEGO
"Partido 8";"Pareja 1:";PULPO;ADRIANA;"Pareja 2:";CARI;ANITA
"Partido 9";"Pareja 1:";NICO;LARI;"Pareja 2:";JESI;CLAUDIO
"Partido 10";"Pareja 1:";ADRIAN;CELI;"Pareja 2:";LEO;ANITA;
"Partido 11";"Pareja 1:";FEDE;ADRIANA;"Pareja 2:";DIEGO;GUS
"Partido 12";"Pareja 1:";CELI;"JUAN C";"Pareja 2:";SOLE;"JUAN L";
"Partido 13";"Pareja 1:";CELI;LARI;"Pareja 2:";CARO;ADRIAN;
"Partido 14";"Pareja 1:";ANITA;CARO;"Pareja 2:";"JUAN L";LUCAS
"Partido 15";"Pareja 1:";CARO;ADRIANA;"Pareja 2:";JESI;SERVA
"Partido 16";"Pareja 1:";ANITA;FEDE;"Pareja 2:";NICO;CLAUDIO
"Partido 17";"Pareja 1:";CLAUDIO;SERVA;"Pareja 2:";JESI;GUS
"Partido 18";"Pareja 1:";GABI;ADRIAN;"Pareja 2:";CARO;FEDE
"Partido 19";"Pareja 1:";GABI;SOLE;"Pareja 2:";PULPO;CLAUDIO
"Partido 20";"Pareja 1:";"JUAN C";LEO;"Pareja 2:";CELI;GABI;
"Partido 21";"Pareja 1:";"JUAN C";CLAUDIO;"Pareja 2:";NICO;CELI
"Partido 22";"Pareja 1:";JESI;PULPO;"Pareja 2:";CELI;GUS
"Partido 23";"Pareja 1:";LUCAS;CARO;"Pareja 2:";"JUAN L";GUS;
"Partido 24";"Pareja 1:";NICO;GUS;"Pareja 2:";DIEGO;CELI
"Partido 25";"Pareja 1:";SOLE;JESI;"Pareja 2:";"JUAN L";FEDE
"Partido 26";"Pareja 1:";CLAUDIO;LARI;"Pareja 2:";LEO;"JUAN L"
"Partido 27";"Pareja 1:";CARO;GUS;"Pareja 2:";CARI;"JUAN C"
"Partido 28";"Pareja 1:";NICO;"JUAN L";"Pareja 2:";GABI;FABIAN
"Partido 29";"Pareja 1:";CARI;JESI;"Pareja 2:";ADRIAN;LUCAS
"Partido 30";"Pareja 1:";"JUAN L";CARO;"Pareja 2:";ADRIANA;LEO
"Partido 31";"Pareja 1:";DIEGO;LUCAS;"Pareja 2:";NICO;FEDE
"Partido 32";"Pareja 1:";ANITA;CLAUDIO;"Pareja 2:";CARI;DIEGO
"Partido 33";"Pareja 1:";ADRIAN;"JUAN L";"Pareja 2:";SERVA;ANITA
"Partido 34";"Pareja 1:";CLAUDIO;"JUAN L";"Pareja 2:";SERVA;ADRIAN
"Partido 35";"Pareja 1:";NICO;FABIAN;"Pareja 2:";PULPO;LARI
"Partido 36";"Pareja 1:";ADRIANA;LUCAS;"Pareja 2:";LARI;LEO
"Partido 37";"Pareja 1:";FEDE;FABIAN;"Pareja 2:";PULPO;GUS
"Partido 38";"Pareja 1:";FABIAN;JESI;"Pareja 2:";LEO;CARI
"Partido 39";"Pareja 1:";GABI;CARI;"Pareja 2:";SOLE;LEO
"Partido 40";"Pareja 1:";DIEGO;ANITA;"Pareja 2:";SOLE;PULPO
"Partido 41";"Pareja 1:";FEDE;SOLE;"Pareja 2:";NICO;ADRIANA
"Partido 42";"Pareja 1:";GUS;ADRIANA;"Pareja 2:";NICO;GABI
"Partido 43";"Pareja 1:";FABIAN;LUCAS;"Pareja 2:";CARO;CLAUDIO
"Partido 44";"Pareja 1:";LUCAS;CELI;"Pareja 2:";"JUAN C";SERVA
"Partido 45";"Pareja 1:";NICO;ANITA;"Pareja 2:";LARI;ADRIAN
"Partido 46";"Pareja 1:";ADRIANA;"JUAN L";"Pareja 2:";FABIAN;PULPO
"Partido 47";"Pareja 1:";ADRIANA;LARI;"Pareja 2:";SERVA;"JUAN L"
"Partido 48";"Pareja 1:";CARO;GABI;"Pareja 2:";JESI;"JUAN C"
"Partido 49";"Pareja 1:";"JUAN C";FABIAN;"Pareja 2:";ADRIAN;ANITA
"Partido 50";"Pareja 1:";LUCAS;GUS;"Pareja 2:";LARI;SOLE
"Partido 51";"Pareja 1:";FEDE;LARI;"Pareja 2:";CELI;FABIAN
"Partido 52";"Pareja 1:";NICO;JESI;"Pareja 2:";SERVA;LUCAS
"Partido 53";"Pareja 1:";LUCAS;GABI;"Pareja 2:";ADRIAN;CARI
"Partido 54";"Pareja 1:";NICO;CARO;"Pareja 2:";CARI;PULPO
"Partido 55";"Pareja 1:";FABIAN;CARI;"Pareja 2:";"JUAN L";CELI
"Partido 56";"Pareja 1:";GABI;"JUAN L";"Pareja 2:";LARI;DIEGO
"Partido 57";"Pareja 1:";NICO;ADRIAN;"Pareja 2:";PULPO;FEDE
"Partido 58";"Pareja 1:";"JUAN L";DIEGO;"Pareja 2:";LEO;CARO
"Partido 59";"Pareja 1:";FEDE;CLAUDIO;"Pareja 2:";PULPO;CELI
"Partido 60";"Pareja 1:";LUCAS;CLAUDIO;"Pareja 2:";DIEGO;FEDE
"Partido 61";"Pareja 1:";LARI;"JUAN L";"Pareja 2:";SERVA;CARI
"Partido 62";"Pareja 1:";CARO;LARI;"Pareja 2:";SOLE;CELI
"Partido 63";"Pareja 1:";ADRIANA;CARI;"Pareja 2:";"JUAN C";GABI
"Partido 64";"Pareja 1:";ANITA;ADRIANA;"Pareja 2:";JESI;CARO
"Partido 65";"Pareja 1:";LUCAS;"JUAN C";"Pareja 2:";LEO;PULPO
